sensor,threshold,lambda,medLagFast,medLagSlow
L8S2,0.9,0.2,5,8
L8S2,0.9,0.25,4,8
L8S2,0.9,0.3,4,8
L8S2,0.9,0.35,4,7
L8S2,0.9,0.4,4,7
L8S2,0.9,0.45,4,7
L8S2,0.9,0.5,3.5,6.5
L8S2,0.9,0.55,3,6
L8S2,0.9,0.6,3,6
L8S2,0.9,0.65,3,6
L8S2,0.9,0.7,3,6
L8S2,0.9,0.75,3,6
L8S2,0.9,0.8,3,6
L8S2,0.9,0.85,3,6
L8S2,0.9,0.9,3,5.5
L8S2,0.9,0.95,3,5.5
L8S2,0.9,1,3,5
L8S2,1,0.05,15,18
L8S2,1,0.1,15,18
L8S2,1,0.15,15,18
L8S2,1,0.2,15,18
L8S2,1,0.25,14,17
L8S2,1,0.3,13,17
L8S2,1,0.35,13,16
L8S2,1,0.4,13,16
L8S2,1,0.45,12,16
L8S2,1,0.5,11,15
L8S2,1,0.55,13,16
L8S2,1,0.6,12,16
L8S2,1,0.65,14,16
L8S2,1,0.7,15,18
L8S2,1,0.75,15,19
L8S2,1,0.8,15,18
L8S2,1,0.85,15,19
L8S2,1,0.9,15,18
L8S2,1,0.95,16,19
L8S2,1,1,15,18.5
All,0.1,0.05,1,5
All,0.1,0.1,1,5
All,0.1,0.15,1,4
All,0.1,0.2,1,4
All,0.1,0.25,1,4
All,0.1,0.3,1,4
All,0.1,0.35,1,4
All,0.1,0.4,1,4
All,0.1,0.45,1,4
All,0.1,0.5,1,4
All,0.1,0.55,1,4
All,0.1,0.6,1,4
All,0.1,0.65,1,4
All,0.1,0.7,1,4
All,0.1,0.75,1,4
All,0.1,0.8,1,4
All,0.1,0.85,1,4
All,0.1,0.9,1,4
All,0.1,0.95,1,4
All,0.1,1,1,4
All,0.2,0.05,2,5.5
All,0.2,0.1,2,5
All,0.2,0.15,2,5
All,0.2,0.2,1.5,5
All,0.2,0.25,1,5
All,0.2,0.3,1,5
All,0.2,0.35,1,5
All,0.2,0.4,1,5
All,0.2,0.45,1,5
All,0.2,0.5,1,5
All,0.2,0.55,1,4
All,0.2,0.6,1,4
All,0.2,0.65,1,4
All,0.2,0.7,1,4
All,0.2,0.75,1,4
All,0.2,0.8,1,4
All,0.2,0.85,1,4
All,0.2,0.9,1,4
All,0.2,0.95,1,4
All,0.2,1,1,4
All,0.3,0.05,3,6
All,0.3,0.1,3,6
All,0.3,0.15,2,5
All,0.3,0.2,2,5
All,0.3,0.25,2,5
All,0.3,0.3,1,5
All,0.3,0.35,1,5
All,0.3,0.4,1,5
All,0.3,0.45,1,5
All,0.3,0.5,1,5
All,0.3,0.55,1,5
All,0.3,0.6,1,5
All,0.3,0.65,1,5
All,0.3,0.7,1,5
