system:index,aet,date,def,lat,lon,pdsi,pet,pr,ro,soil,srad,swe,tmmn,tmmx,vap,vpd,vs
201507_0,1005,7/1/2015,0,23.64583333,95.4375,-380,1005,276,83,2514,1454,0,249,317,3014,91,166
201507_1,1008,7/1/2015,0,23.64583333,95.47916667,-371,1008,271,83,2487,1457,0,248,317,3014,91,169
201507_2,1006,7/1/2015,0,23.64583333,95.52083333,-364,1006,266,82,2476,1462,0,248,317,3013,91,165
201507_3,1001,7/1/2015,0,23.64583333,95.5625,-358,1001,263,83,2481,1466,0,246,316,3000,89,162
201507_4,1011,7/1/2015,0,23.64583333,95.60416667,-349,1011,259,80,2487,1469,0,249,317,3005,92,162
201507_5,1028,7/1/2015,0,23.64583333,95.64583333,-347,1028,255,76,2492,1470,0,250,319,3001,97,168
201507_6,1003,7/1/2015,0,23.60416667,95.39583333,-384,1003,274,77,2448,1457,0,248,317,3017,91,163
201507_7,1011,7/1/2015,0,23.60416667,95.4375,-374,1011,270,77,2419,1459,0,248,317,3006,91,166
201507_8,1012,7/1/2015,0,23.60416667,95.47916667,-366,1012,265,78,2390,1461,0,248,317,3005,91,168
201507_9,1007,7/1/2015,0,23.60416667,95.52083333,-361,1007,261,79,2381,1466,0,247,316,3001,90,165
201507_10,1003,7/1/2015,0,23.60416667,95.5625,-352,1003,257,80,2392,1470,0,247,315,3001,89,162
201507_11,1008,7/1/2015,0,23.60416667,95.60416667,-345,1008,255,80,2404,1473,0,247,316,2993,91,162
201507_12,1023,7/1/2015,0,23.60416667,95.64583333,-344,1023,251,73,2416,1475,0,249,318,2996,95,168
201507_13,1009,7/1/2015,0,23.5625,95.39583333,-385,1009,265,65,2355,1463,0,249,318,3019,92,162
201507_14,1006,7/1/2015,0,23.5625,95.4375,-375,1006,263,70,2324,1466,0,248,317,3009,91,160
201507_15,1006,7/1/2015,0,23.5625,95.47916667,-363,1006,260,77,2292,1467,0,247,316,2996,90,163
201507_16,1003,7/1/2015,0,23.5625,95.52083333,-356,1003,256,76,2286,1472,0,246,315,2994,89,159
201507_17,998,7/1/2015,0,23.5625,95.5625,-350,998,251,72,2304,1478,0,246,315,2994,88,153
201507_18,1002,7/1/2015,0,23.5625,95.60416667,-342,1002,250,74,2322,1480,0,246,315,2984,89,154
201507_19,1009,7/1/2015,0,23.5625,95.64583333,-336,1009,249,78,2340,1480,0,246,315,2972,90,158
201507_20,1018,7/1/2015,0,23.52083333,95.39583333,-378,1018,259,60,2263,1465,0,249,318,3015,94,169
201507_21,1021,7/1/2015,0,23.52083333,95.4375,-372,1021,255,63,2229,1467,0,248,319,3011,94,170
201507_22,1017,7/1/2015,0,23.52083333,95.47916667,-361,1017,253,68,2195,1471,0,248,317,3002,92,167
201507_23,1012,7/1/2015,0,23.52083333,95.52083333,-351,1012,249,70,2190,1476,0,247,316,2995,91,162
201507_24,1002,7/1/2015,0,23.52083333,95.5625,-347,1002,246,70,2215,1481,0,245,315,2985,89,154
201507_25,1004,7/1/2015,0,23.52083333,95.60416667,-359,1004,244,64,2239,1484,0,245,315,2982,88,155
201507_26,1008,7/1/2015,0,23.52083333,95.64583333,-350,1008,246,75,2263,1483,0,245,313,2949,89,158
201508_0,1048,8/1/2015,0,23.64583333,95.4375,-283,1048,306,201,2514,1749,0,245,306,3123,62,126
201508_1,1043,8/1/2015,0,23.64583333,95.47916667,-277,1043,299,195,2487,1750,0,244,305,3129,60,121
201508_2,1037,8/1/2015,0,23.64583333,95.52083333,-272,1037,295,191,2476,1748,0,243,304,3130,58,122
201508_3,1026,8/1/2015,0,23.64583333,95.5625,-268,1026,292,189,2481,1747,0,241,301,3117,54,120
201508_4,1037,8/1/2015,0,23.64583333,95.60416667,-262,1037,287,183,2487,1741,0,243,304,3125,58,133
201508_5,1046,8/1/2015,0,23.64583333,95.64583333,-261,1046,283,178,2492,1743,0,245,306,3125,63,125
201508_6,1049,8/1/2015,0,23.60416667,95.39583333,-287,1049,301,196,2448,1759,0,244,305,3125,61,120
201508_7,1054,8/1/2015,0,23.60416667,95.4375,-280,1054,297,191,2419,1755,0,244,305,3119,60,127
201508_8,1047,8/1/2015,0,23.60416667,95.47916667,-275,1047,292,188,2390,1753,0,243,304,3119,58,128
201508_9,1035,8/1/2015,0,23.60416667,95.52083333,-272,1035,288,185,2381,1755,0,242,302,3117,56,117
201508_10,1030,8/1/2015,0,23.60416667,95.5625,-265,1030,283,180,2392,1755,0,241,302,3119,54,117
201508_11,1033,8/1/2015,0,23.60416667,95.60416667,-261,1033,280,176,2404,1752,0,241,302,3114,56,121
201508_12,1042,8/1/2015,0,23.60416667,95.64583333,-262,1042,276,171,2416,1749,0,243,305,3119,60,124
201508_13,1054,8/1/2015,0,23.5625,95.39583333,-289,1054,292,186,2355,1765,0,245,306,3131,61,124
201508_14,1050,8/1/2015,0,23.5625,95.4375,-283,1050,289,184,2324,1763,0,242,304,3119,59,123
201508_15,1043,8/1/2015,0,23.5625,95.47916667,-274,1043,284,180,2292,1760,0,242,303,3111,57,124
201508_16,1035,8/1/2015,0,23.5625,95.52083333,-270,1035,280,176,2286,1761,0,241,302,3112,54,118
201508_17,1031,8/1/2015,0,23.5625,95.5625,-266,1031,276,173,2304,1759,0,240,301,3115,53,121
201508_18,1030,8/1/2015,0,23.5625,95.60416667,-261,1030,273,170,2322,1758,0,240,300,3107,53,117
201508_19,1037,8/1/2015,0,23.5625,95.64583333,-257,1037,271,167,2340,1754,0,240,301,3095,55,121
201508_20,1057,8/1/2015,0,23.52083333,95.39583333,-287,1057,284,178,2263,1772,0,244,306,3127,62,121
201508_21,1056,8/1/2015,0,23.52083333,95.4375,-283,1056,280,174,2229,1768,0,244,305,3124,61,127
201508_22,1053,8/1/2015,0,23.52083333,95.47916667,-275,1053,275,170,2195,1765,0,244,305,3119,60,132
201508_23,1047,8/1/2015,0,23.52083333,95.52083333,-268,1047,272,167,2190,1764,0,242,303,3114,58,128
201508_24,1036,8/1/2015,0,23.52083333,95.5625,-266,1036,269,165,2215,1765,0,240,301,3106,54,121
201508_25,1035,8/1/2015,0,23.52083333,95.60416667,-278,1035,265,161,2239,1764,0,239,301,3106,53,119
201508_26,1040,8/1/2015,0,23.52083333,95.64583333,-273,1040,265,161,2263,1761,0,239,300,3072,55,116
201509_0,1086,9/1/2015,0,23.64583333,95.4375,-228,1086,246,137,2514,1880,0,245,317,3100,80,129
201509_1,1085,9/1/2015,0,23.64583333,95.47916667,-223,1085,244,135,2487,1878,0,245,317,3104,80,129
201509_2,1082,9/1/2015,0,23.64583333,95.52083333,-218,1082,242,134,2476,1882,0,245,316,3104,78,127
201509_3,1074,9/1/2015,0,23.64583333,95.5625,-215,1074,241,133,2481,1887,0,242,314,3094,74,128
201509_4,1075,9/1/2015,0,23.64583333,95.60416667,-211,1075,238,131,2487,1867,0,244,317,3103,78,127
201509_5,1088,9/1/2015,0,23.64583333,95.64583333,-211,1088,237,128,2492,1876,0,246,318,3101,82,127
201509_6,1092,9/1/2015,0,23.60416667,95.39583333,-232,1092,244,135,2448,1896,0,245,317,3104,79,130
201509_7,1087,9/1/2015,0,23.60416667,95.4375,-226,1087,242,134,2419,1881,0,244,316,3097,77,129
201509_8,1083,9/1/2015,0,23.60416667,95.47916667,-221,1083,241,133,2390,1876,0,244,316,3097,77,129
201509_9,1080,9/1/2015,0,23.60416667,95.52083333,-219,1080,238,131,2381,1889,0,242,315,3097,75,129
201509_10,1074,9/1/2015,0,23.60416667,95.5625,-214,1074,236,129,2392,1887,0,242,314,3099,73,128
201509_11,1075,9/1/2015,0,23.60416667,95.60416667,-211,1075,236,128,2404,1878,0,243,315,3093,76,128
201509_12,1083,9/1/2015,0,23.60416667,95.64583333,-212,1083,233,125,2416,1876,0,245,317,3099,80,128
201509_13,1101,9/1/2015,0,23.5625,95.39583333,-235,1101,240,130,2355,1899,0,246,319,3111,82,130
201509_14,1088,9/1/2015,0,23.5625,95.4375,-230,1088,239,130,2324,1891,0,244,316,3100,77,130
201509_15,1079,9/1/2015,0,23.5625,95.47916667,-222,1079,236,128,2292,1890,0,242,314,3091,73,130
201509_16,1071,9/1/2015,0,23.5625,95.52083333,-219,1071,235,128,2286,1887,0,241,313,3092,71,130
201509_17,1069,9/1/2015,0,23.5625,95.5625,-215,1069,232,125,2304,1886,0,241,313,3096,70,129
201509_18,1071,9/1/2015,0,23.5625,95.60416667,-211,1071,232,125,2322,1881,0,241,313,3088,72,129
201509_19,1077,9/1/2015,0,23.5625,95.64583333,-209,1077,232,124,2340,1878,0,243,314,3076,75,129
201509_20,1110,9/1/2015,0,23.52083333,95.39583333,-235,1110,237,126,2263,1900,0,249,321,3109,87,130
