system:index,aet,date,def,lat,lon,pdsi,pet,pr,ro,soil,srad,swe,tmmn,tmmx,vap,vpd,vs
201509_21,1099,9/1/2015,0,23.52083333,95.4375,-231,1099,234,124,2229,1891,0,247,319,3107,83,130
201509_22,1087,9/1/2015,0,23.52083333,95.47916667,-224,1087,233,124,2195,1890,0,245,316,3102,78,130
201509_23,1080,9/1/2015,0,23.52083333,95.52083333,-219,1080,230,122,2190,1889,0,243,315,3097,74,130
201509_24,1072,9/1/2015,0,23.52083333,95.5625,-217,1072,230,123,2215,1887,0,241,313,3088,71,130
201509_25,1074,9/1/2015,0,23.52083333,95.60416667,-228,1074,227,120,2239,1886,0,241,313,3089,72,130
201509_26,1081,9/1/2015,0,23.52083333,95.64583333,-224,1081,229,121,2263,1886,0,241,313,3055,74,129
201510_0,978,10/1/2015,0,23.64583333,95.4375,-237,978,143,45,2514,1810,0,218,309,2754,81,76
201510_1,981,10/1/2015,0,23.64583333,95.47916667,-231,981,143,45,2487,1813,0,217,310,2756,81,78
201510_2,982,10/1/2015,0,23.64583333,95.52083333,-226,982,143,45,2476,1818,0,216,309,2755,79,81
201510_3,979,10/1/2015,0,23.64583333,95.5625,-222,979,145,47,2481,1820,0,214,307,2744,76,84
201510_4,978,10/1/2015,0,23.64583333,95.60416667,-217,978,145,47,2487,1818,0,216,309,2750,79,76
201510_5,987,10/1/2015,0,23.64583333,95.64583333,-215,987,145,46,2492,1825,0,216,310,2747,80,81
201510_6,974,10/1/2015,0,23.60416667,95.39583333,-241,974,143,46,2448,1805,0,217,309,2761,79,75
201510_7,981,10/1/2015,0,23.60416667,95.4375,-234,981,144,46,2419,1809,0,216,308,2754,78,76
201510_8,985,10/1/2015,0,23.60416667,95.47916667,-229,985,144,45,2390,1816,0,216,308,2751,78,81
201510_9,984,10/1/2015,0,23.60416667,95.52083333,-226,984,144,46,2381,1823,0,215,308,2750,77,85
201510_10,978,10/1/2015,0,23.60416667,95.5625,-219,978,144,46,2392,1821,0,214,307,2752,75,83
201510_11,981,10/1/2015,0,23.60416667,95.60416667,-215,981,146,47,2404,1822,0,214,308,2743,77,83
201510_12,989,10/1/2015,0,23.60416667,95.64583333,-215,989,146,47,2416,1828,0,215,309,2748,79,85
201510_13,978,10/1/2015,0,23.5625,95.39583333,-243,978,143,46,2355,1799,0,219,311,2773,82,75
201510_14,978,10/1/2015,0,23.5625,95.4375,-236,978,144,46,2324,1809,0,216,309,2761,77,76
201510_15,974,10/1/2015,0,23.5625,95.47916667,-228,974,145,48,2292,1810,0,215,307,2751,75,76
201510_16,971,10/1/2015,0,23.5625,95.52083333,-224,971,146,48,2286,1813,0,213,306,2749,74,77
201510_17,972,10/1/2015,0,23.5625,95.5625,-219,972,146,49,2304,1818,0,213,305,2749,72,80
201510_18,973,10/1/2015,0,23.5625,95.60416667,-214,973,147,50,2322,1818,0,213,306,2742,73,78
201510_19,981,10/1/2015,0,23.5625,95.64583333,-211,981,149,51,2340,1822,0,213,306,2729,75,82
201510_20,984,10/1/2015,0,23.52083333,95.39583333,-241,984,144,45,2263,1799,0,221,313,2774,86,76
201510_21,979,10/1/2015,0,23.52083333,95.4375,-236,979,145,47,2229,1799,0,219,312,2771,83,76
201510_22,973,10/1/2015,0,23.52083333,95.47916667,-229,973,146,48,2195,1799,0,217,309,2764,79,77
201510_23,971,10/1/2015,0,23.52083333,95.52083333,-222,971,146,49,2190,1805,0,215,308,2758,76,77
201510_24,972,10/1/2015,0,23.52083333,95.5625,-219,972,148,50,2215,1814,0,213,306,2748,73,78
201510_25,973,10/1/2015,0,23.52083333,95.60416667,-227,973,148,51,2239,1815,0,213,306,2747,73,77
201510_26,978,10/1/2015,0,23.52083333,95.64583333,-223,978,150,53,2263,1817,0,212,305,2713,74,78
201511_0,567,11/1/2015,276,23.64583333,95.4375,-272,843,10,0,2040,1971,0,178,281,2227,70,56
201511_1,567,11/1/2015,276,23.64583333,95.47916667,-267,842,10,0,2013,1970,0,177,281,2231,70,56
201511_2,565,11/1/2015,275,23.64583333,95.52083333,-262,839,10,0,2004,1965,0,177,280,2232,69,57
201511_3,562,11/1/2015,272,23.64583333,95.5625,-259,834,10,0,2014,1963,0,174,277,2224,64,61
201511_4,566,11/1/2015,274,23.64583333,95.60416667,-254,840,10,0,2016,1962,0,176,280,2228,68,60
201511_5,569,11/1/2015,276,23.64583333,95.64583333,-253,846,10,0,2017,1957,0,178,282,2229,71,64
201511_6,566,11/1/2015,277,23.60416667,95.39583333,-275,844,9,0,1972,1979,0,177,280,2232,69,56
201511_7,569,11/1/2015,279,23.60416667,95.4375,-269,848,9,0,1940,1976,0,175,278,2229,66,56
201511_8,567,11/1/2015,278,23.60416667,95.47916667,-265,845,9,0,1913,1971,0,175,278,2229,65,57
201511_9,563,11/1/2015,274,23.60416667,95.52083333,-263,837,10,0,1910,1970,0,175,278,2229,65,57
201511_10,561,11/1/2015,273,23.60416667,95.5625,-257,834,10,0,1923,1970,0,173,277,2233,63,57
201511_11,563,11/1/2015,274,23.60416667,95.60416667,-253,837,10,0,1933,1969,0,174,278,2227,65,57
201511_12,565,11/1/2015,276,23.60416667,95.64583333,-253,841,10,0,1942,1966,0,176,280,2231,68,58
201511_13,571,11/1/2015,282,23.5625,95.39583333,-278,852,9,0,1871,1969,0,181,283,2243,73,60
201511_14,567,11/1/2015,279,23.5625,95.4375,-272,846,9,0,1844,1978,0,176,279,2236,65,57
201511_15,563,11/1/2015,276,23.5625,95.47916667,-266,839,9,0,1818,1976,0,173,276,2230,62,57
201511_16,560,11/1/2015,275,23.5625,95.52083333,-262,835,9,0,1813,1974,0,172,275,2230,61,57
201511_17,559,11/1/2015,274,23.5625,95.5625,-257,833,9,0,1833,1970,0,172,275,2236,59,58
201511_18,561,11/1/2015,275,23.5625,95.60416667,-253,836,9,0,1849,1973,0,172,275,2228,61,58
201511_19,564,11/1/2015,276,23.5625,95.64583333,-250,840,9,0,1865,1967,0,172,277,2220,63,61
201511_20,574,11/1/2015,284,23.52083333,95.39583333,-277,858,9,0,1775,1967,0,184,286,2248,79,60
201511_21,569,11/1/2015,282,23.52083333,95.4375,-273,851,9,0,1745,1969,0,181,283,2247,73,59
201511_22,566,11/1/2015,280,23.52083333,95.47916667,-266,846,9,0,1714,1976,0,177,279,2244,67,60
201511_23,562,11/1/2015,278,23.52083333,95.52083333,-261,839,9,0,1713,1974,0,174,277,2241,63,57
201511_24,559,11/1/2015,276,23.52083333,95.5625,-258,836,9,0,1740,1973,0,172,275,2235,60,58
201511_25,561,11/1/2015,276,23.52083333,95.60416667,-266,837,9,0,1765,1973,0,172,275,2236,59,58
201511_26,565,11/1/2015,279,23.52083333,95.64583333,-261,844,9,0,1785,1971,0,172,276,2208,63,60
201512_0,407,12/1/2015,227,23.64583333,95.4375,-249,633,13,1,1757,1592,0,142,239,1695,60,61
201512_1,408,12/1/2015,228,23.64583333,95.47916667,-245,635,13,1,1730,1594,0,140,238,1699,59,64
201512_2,407,12/1/2015,227,23.64583333,95.52083333,-240,634,13,1,1722,1595,0,140,237,1702,57,66
201512_3,405,12/1/2015,223,23.64583333,95.5625,-238,628,13,1,1735,1598,0,137,234,1695,54,66
201512_4,411,12/1/2015,219,23.64583333,95.60416667,-232,630,15,1,1742,1592,0,138,237,1704,56,64
201512_5,414,12/1/2015,221,23.64583333,95.64583333,-231,635,15,1,1742,1588,0,141,239,1702,60,63
201512_6,405,12/1/2015,226,23.60416667,95.39583333,-252,631,13,1,1691,1594,0,142,237,1699,59,60
201512_7,410,12/1/2015,231,23.60416667,95.4375,-247,641,13,1,1655,1597,0,140,237,1696,58,65
201512_8,408,12/1/2015,229,23.60416667,95.47916667,-243,637,13,1,1631,1596,0,139,236,1697,56,64
201512_9,405,12/1/2015,226,23.60416667,95.52083333,-241,631,13,1,1632,1599,0,138,234,1698,54,66
201512_10,404,12/1/2015,223,23.60416667,95.5625,-235,628,14,1,1647,1599,0,135,234,1702,52,66
201512_11,411,12/1/2015,219,23.60416667,95.60416667,-231,630,15,1,1663,1598,0,136,235,1699,54,67
201512_12,414,12/1/2015,221,23.60416667,95.64583333,-231,635,15,1,1670,1594,0,139,238,1701,57,66
201512_13,403,12/1/2015,228,23.5625,95.39583333,-254,631,13,1,1595,1577,0,145,240,1706,62,55
201512_14,406,12/1/2015,230,23.5625,95.4375,-249,636,13,1,1566,1599,0,140,236,1700,57,62
201512_15,405,12/1/2015,228,23.5625,95.47916667,-243,633,14,1,1542,1602,0,137,234,1695,53,66
201512_16,404,12/1/2015,226,23.5625,95.52083333,-239,630,14,1,1540,1605,0,136,232,1696,52,66
201512_17,403,12/1/2015,224,23.5625,95.5625,-235,627,14,1,1561,1605,0,134,232,1703,50,66
201512_18,405,12/1/2015,224,23.5625,95.60416667,-231,629,14,1,1576,1602,0,135,233,1696,51,67
201512_19,412,12/1/2015,219,23.5625,95.64583333,-228,631,15,1,1599,1595,0,136,234,1691,53,63
201512_20,408,12/1/2015,224,23.52083333,95.39583333,-252,633,15,1,1507,1567,0,148,243,1706,67,54
201512_21,406,12/1/2015,231,23.52083333,95.4375,-250,637,14,1,1470,1589,0,145,240,1706,62,58
201512_22,407,12/1/2015,232,23.52083333,95.47916667,-244,639,14,1,1439,1605,0,141,237,1704,58,65
201512_23,405,12/1/2015,229,23.52083333,95.52083333,-238,634,14,1,1441,1604,0,138,235,1702,54,66
201512_24,404,12/1/2015,226,23.52083333,95.5625,-235,630,14,1,1471,1604,0,135,232,1697,51,67
201512_25,406,12/1/2015,225,23.52083333,95.60416667,-242,632,14,1,1494,1603,0,134,233,1699,51,67
201512_26,415,12/1/2015,221,23.52083333,95.64583333,-237,636,16,1,1519,1597,0,135,234,1680,54,64
201601_0,383,1/1/2016,340,23.64583333,95.4375,-232,723,4,0,1413,1758,0,117,257,1553,79,68
201601_1,384,1/1/2016,343,23.64583333,95.47916667,-228,727,4,0,1385,1760,0,116,257,1553,79,72
201601_2,384,1/1/2016,343,23.64583333,95.52083333,-224,727,4,0,1377,1758,0,116,256,1552,78,74
201601_3,383,1/1/2016,339,23.64583333,95.5625,-222,721,4,0,1392,1756,0,113,253,1541,75,76
201601_4,383,1/1/2016,337,23.64583333,95.60416667,-217,720,4,0,1400,1751,0,114,256,1543,78,70
201601_5,386,1/1/2016,341,23.64583333,95.64583333,-216,726,4,0,1397,1747,0,117,259,1537,83,70
201601_6,382,1/1/2016,345,23.60416667,95.39583333,-236,727,4,0,1348,1767,0,117,257,1559,78,71
201601_7,383,1/1/2016,350,23.60416667,95.4375,-231,734,4,0,1311,1766,0,116,256,1553,78,72
201601_8,384,1/1/2016,352,23.60416667,95.47916667,-227,736,4,0,1287,1766,0,115,255,1549,77,77
201601_9,381,1/1/2016,346,23.60416667,95.52083333,-225,727,4,0,1291,1763,0,113,254,1546,76,77
201601_10,380,1/1/2016,344,23.60416667,95.5625,-221,724,4,0,1307,1761,0,112,253,1545,74,78
201601_11,380,1/1/2016,341,23.60416667,95.60416667,-217,721,4,0,1323,1757,0,112,254,1537,76,73
201601_12,381,1/1/2016,341,23.60416667,95.64583333,-216,722,4,0,1330,1749,0,115,257,1536,81,69
201601_13,376,1/1/2016,348,23.5625,95.39583333,-238,725,4,0,1258,1742,0,119,258,1565,81,69
201601_14,379,1/1/2016,353,23.5625,95.4375,-233,732,4,0,1226,1770,0,115,255,1554,77,73
201601_15,378,1/1/2016,353,23.5625,95.47916667,-228,730,4,0,1203,1770,0,113,253,1545,75,76
201601_16,375,1/1/2016,349,23.5625,95.52083333,-225,724,4,0,1204,1767,0,112,252,1542,74,75
201601_17,372,1/1/2016,343,23.5625,95.5625,-221,715,4,0,1228,1762,0,111,252,1539,73,70
201601_18,374,1/1/2016,344,23.5625,95.60416667,-217,718,4,0,1242,1758,0,111,253,1535,75,70
201601_19,379,1/1/2016,345,23.5625,95.64583333,-214,724,4,0,1260,1756,0,113,254,1524,78,70
201601_20,377,1/1/2016,345,23.52083333,95.39583333,-236,722,5,0,1181,1720,0,121,260,1562,84,69
201601_21,371,1/1/2016,356,23.52083333,95.4375,-235,727,4,0,1137,1746,0,119,259,1557,82,70
201601_22,370,1/1/2016,357,23.52083333,95.47916667,-229,727,4,0,1108,1767,0,117,257,1551,79,69
201601_23,369,1/1/2016,354,23.52083333,95.52083333,-224,724,4,0,1111,1768,0,114,255,1546,77,69
201601_24,369,1/1/2016,350,23.52083333,95.5625,-222,719,4,0,1141,1765,0,112,252,1538,74,69
201601_25,371,1/1/2016,350,23.52083333,95.60416667,-228,721,4,0,1163,1763,0,111,252,1535,74,70
201601_26,378,1/1/2016,353,23.52083333,95.64583333,-223,731,4,0,1182,1760,0,112,254,1513,78,72
201602_0,438,2/1/2016,458,23.64583333,95.4375,-203,896,10,0,1068,2028,0,144,303,1934,106,86
201602_1,435,2/1/2016,460,23.64583333,95.47916667,-199,895,10,0,1042,2026,0,144,304,1935,106,85
201602_2,435,2/1/2016,461,23.64583333,95.52083333,-196,896,10,0,1035,2026,0,144,304,1932,107,86
201602_3,435,2/1/2016,455,23.64583333,95.5625,-195,890,10,0,1049,2023,0,141,301,1920,104,88
201602_4,437,2/1/2016,457,23.64583333,95.60416667,-191,894,10,0,1055,2020,0,144,305,1921,109,84
201602_5,440,2/1/2016,463,23.64583333,95.64583333,-190,903,10,0,1049,2018,0,146,308,1916,116,84
201602_6,434,2/1/2016,464,23.60416667,95.39583333,-206,898,10,0,1007,2036,0,144,303,1939,106,86
201602_7,432,2/1/2016,472,23.60416667,95.4375,-202,905,10,0,971,2032,0,145,304,1931,108,85
201602_8,430,2/1/2016,474,23.60416667,95.47916667,-198,904,10,0,949,2031,0,145,305,1927,109,85
201602_9,423,2/1/2016,476,23.60416667,95.52083333,-199,900,8,0,948,2032,0,143,303,1922,107,89
201602_10,421,2/1/2016,470,23.60416667,95.5625,-195,891,8,0,965,2027,0,141,303,1921,105,85
201602_11,424,2/1/2016,469,23.60416667,95.60416667,-192,893,8,0,979,2026,0,142,303,1912,107,85
201602_12,426,2/1/2016,473,23.60416667,95.64583333,-191,899,8,0,983,2023,0,145,306,1914,112,85
201602_13,421,2/1/2016,481,23.5625,95.39583333,-209,902,9,0,918,2033,0,146,305,1941,109,85
201602_14,420,2/1/2016,488,23.5625,95.4375,-205,909,9,0,887,2041,0,145,304,1930,108,89
201602_15,418,2/1/2016,489,23.5625,95.47916667,-200,907,8,0,866,2037,0,145,305,1922,110,87
201602_16,416,2/1/2016,484,23.5625,95.52083333,-198,900,8,0,869,2032,0,144,304,1918,109,85
201602_17,416,2/1/2016,478,23.5625,95.5625,-195,894,8,0,892,2032,0,142,302,1916,105,85
201602_18,417,2/1/2016,478,23.5625,95.60416667,-192,895,8,0,904,2029,0,141,302,1907,107,85
201602_19,421,2/1/2016,479,23.5625,95.64583333,-190,900,8,0,918,2027,0,142,304,1895,110,85
201602_20,416,2/1/2016,489,23.52083333,95.39583333,-207,905,9,0,846,2029,0,148,306,1939,112,86
201602_21,412,2/1/2016,497,23.52083333,95.4375,-205,909,8,0,806,2036,0,148,307,1935,113,86
201602_22,409,2/1/2016,501,23.52083333,95.47916667,-200,910,8,0,779,2039,0,148,308,1926,115,85
201602_23,410,2/1/2016,499,23.52083333,95.52083333,-196,909,8,0,781,2036,0,147,307,1918,114,85
201602_24,410,2/1/2016,491,23.52083333,95.5625,-194,900,8,0,810,2038,0,143,303,1908,108,85
201602_25,411,2/1/2016,487,23.52083333,95.60416667,-201,898,8,0,831,2036,0,142,302,1904,106,85
201602_26,417,2/1/2016,494,23.52083333,95.64583333,-197,912,8,0,843,2036,0,142,303,1875,111,90
201603_0,412,3/1/2016,921,23.64583333,95.4375,-196,1332,4,0,698,2378,0,186,343,1994,181,95
201603_1,398,3/1/2016,932,23.64583333,95.47916667,-193,1330,4,0,685,2372,0,187,344,1992,184,94
201603_2,394,3/1/2016,941,23.64583333,95.52083333,-190,1335,4,0,681,2367,0,190,347,1988,190,93
201603_3,402,3/1/2016,934,23.64583333,95.5625,-190,1335,4,0,688,2369,0,190,347,1977,191,93
201603_4,404,3/1/2016,932,23.64583333,95.60416667,-186,1336,4,0,690,2359,0,192,349,1979,194,93
201603_5,399,3/1/2016,936,23.64583333,95.64583333,-186,1334,4,0,689,2355,0,192,349,1973,195,93
201603_6,383,3/1/2016,952,23.60416667,95.39583333,-199,1335,5,0,667,2383,0,187,345,1997,183,94
201603_7,364,3/1/2016,987,23.60416667,95.4375,-195,1350,4,0,650,2379,0,191,348,1988,193,94
201603_8,353,3/1/2016,1000,23.60416667,95.47916667,-192,1352,4,0,638,2371,0,194,351,1983,199,93
201603_9,352,3/1/2016,997,23.60416667,95.52083333,-193,1349,4,0,637,2373,0,194,351,1978,200,93
201603_10,361,3/1/2016,986,23.60416667,95.5625,-190,1347,4,0,645,2370,0,194,351,1976,200,93
201603_11,367,3/1/2016,974,23.60416667,95.60416667,-187,1341,4,0,651,2364,0,194,349,1968,198,93
201603_12,367,3/1/2016,970,23.60416667,95.64583333,-187,1338,4,0,654,2359,0,192,349,1970,197,92
201603_13,340,3/1/2016,994,23.5625,95.39583333,-202,1333,5,0,622,2385,0,186,344,2001,181,94
201603_14,324,3/1/2016,1031,23.5625,95.4375,-198,1354,4,0,605,2386,0,193,350,1986,197,93
201603_15,314,3/1/2016,1047,23.5625,95.47916667,-195,1361,4,0,593,2378,0,197,354,1976,207,93
201603_16,316,3/1/2016,1044,23.5625,95.52083333,-193,1360,4,0,594,2375,0,197,354,1972,208,93
201603_17,327,3/1/2016,1028,23.5625,95.5625,-191,1355,4,0,606,2372,0,196,353,1971,206,93
201603_18,331,3/1/2016,1020,23.5625,95.60416667,-188,1351,4,0,612,2370,0,196,352,1960,204,92
201603_19,337,3/1/2016,1011,23.5625,95.64583333,-187,1349,4,0,620,2370,0,194,350,1946,201,93
201603_20,303,3/1/2016,1024,23.52083333,95.39583333,-200,1328,4,0,582,2386,0,184,342,1994,178,93
201603_21,284,3/1/2016,1064,23.52083333,95.4375,-199,1348,4,0,562,2383,0,192,349,1988,194,93
201603_22,271,3/1/2016,1092,23.52083333,95.47916667,-195,1363,4,0,546,2384,0,198,355,1980,208,93
201603_23,272,3/1/2016,1094,23.52083333,95.52083333,-191,1366,4,0,547,2379,0,199,356,1973,212,93
201603_24,285,3/1/2016,1076,23.52083333,95.5625,-190,1361,4,0,562,2376,0,198,355,1961,211,93
201603_25,294,3/1/2016,1063,23.52083333,95.60416667,-196,1357,4,0,573,2374,0,196,353,1957,207,92
201603_26,298,3/1/2016,1055,23.52083333,95.64583333,-193,1352,4,0,581,2374,0,194,350,1928,203,92
201604_0,957,4/1/2016,542,23.64583333,95.4375,-112,1499,83,4,529,2383,0,223,367,2493,196,137
201604_1,969,4/1/2016,536,23.64583333,95.47916667,-108,1505,85,4,520,2384,0,224,369,2491,200,136
201604_2,998,4/1/2016,516,23.64583333,95.52083333,-105,1514,88,4,518,2383,0,227,371,2488,207,136
201604_3,1023,4/1/2016,491,23.64583333,95.5625,-103,1514,91,5,531,2390,0,225,369,2473,204,137
